Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
83,"runkernel_0$ck_L92_4.kd",0,0,166,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
84,"runkernel_0$ck_L50_1.kd",0,0,168,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
85,"runkernel_0$ck_L92_4.kd",0,0,170,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
86,"runkernel_0$ck_L50_1.kd",0,0,172,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
87,"runkernel_0$ck_L92_4.kd",0,0,174,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
88,"runkernel_0$ck_L50_1.kd",0,0,176,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
89,"runkernel_0$ck_L92_4.kd",0,0,178,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
90,"runkernel_0$ck_L50_1.kd",0,0,180,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
91,"runkernel_0$ck_L92_4.kd",0,0,182,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
92,"runkernel_0$ck_L50_1.kd",0,0,184,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
93,"runkernel_0$ck_L92_4.kd",0,0,186,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
94,"runkernel_0$ck_L50_1.kd",0,0,188,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
95,"runkernel_0$ck_L92_4.kd",0,0,190,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
